cleaned_text,topic_id,topic_confidence,cluster_id,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,comment_id,token_count
program makan bergizi gratis tidak hanya membantu memenuhi kebutuhan gizi anak tetapi juga menggerakkan ekonomi rakyat dengan melibatkan petani peternak nelayan dan umkm lokal dalam rantai pasok program ini menciptakan manfaat yang dirasakan dari hulu hingga hilir,3,0.9095,22,0.0307,0.029,0.0307,0.9095,123,17
program makan bergizi gratis fokus pada penerima yang membutuhkan,3,0.4801,11,0.0202,0.021,0.4787,0.4801,124,31
inovasi anakanak papua melalui teknologi mendukung pelaksanaan program makan bergizi gratis mbg agar lebih transparan tepat sasaran dan bermanfaat bagi generasi penerus,3,0.6054,49,0.1318,0.1349,0.1279,0.6054,125,8
zulkifli hasan mendorong agar kebutuhan program makan bergizi gratis diprioritaskan berasal dari koperasi desa sehingga ekonomi desa semakin tumbuh masyarakat lokal semakin sejahtera,1,0.6853,22,0.2658,0.6853,0.0245,0.0244,126,26
dukung perbaikan untuk keberlanjutan program makan bergizi gratis,1,0.8467,49,0.0507,0.8467,0.0513,0.0514,127,9
dukung program makan bergizi gratis untuk peningkatan gizi anakanak indonesia dan meningkatkan kesejahteraan masyarakat indonesia,1,0.955,5,0.0155,0.955,0.0146,0.0149,128,30
kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak,3,0.7448,40,0.0843,0.0848,0.0861,0.7448,129,8
zulkifli hasan mendorong agar kebutuhan program makan bergizi gratis diprioritaskan berasal dari koperasi desa sehingga ekonomi desa semakin tumbuh masyarakat lokal semakin sejahtera,2,0.9272,39,0.0235,0.0249,0.9272,0.0244,130,16
zulkifli hasan mendorong sppg berbelanja bahan pangan di kopdes agar program makan bergizi gratis ikut menggerakkan ekonomi desa,2,0.9272,39,0.0235,0.0249,0.9272,0.0244,131,16
langkah bgn efisiensikan anggaran program makan bergizi gratis,3,0.715,31,0.2446,0.0209,0.0194,0.715,132,28
membangun keadilan gizi melalui program makan bergizi gratis,1,0.9027,44,0.0328,0.9027,0.0324,0.032,133,30
program makan bergizi gratis mbg menjadi salah satu program yang paling dinantikan oleh para pelajar di berbagai sekolah ia juga menilai sejumlah pemberitaan negatif terkait program unggulan presiden prabowo subianto tersebut tidak mencerminkan kondisi yang dirasakan warga,3,0.6682,39,0.0328,0.2671,0.0319,0.6682,134,13
program makan bergizi gratis mbg menjadi salah satu program yang paling dinantikan oleh para pelajar di berbagai sekolah ia juga menilai sejumlah pemberitaan negatif terkait program unggulan presiden prabowo subianto tersebut tidak mencerminkan kondisi yang dirasakan warga,1,0.833,47,0.0596,0.833,0.0506,0.0568,135,11
anggaran mbg dipangkas lagi ‍ gue baru baca menkeu purbaya yudhi sadewa konfirmasi ada efisiensi lanjutan buat program makan bergizi gratis dari rpt → rpt sekarang bakal dipotong lagi di bawah rpt potensi penghematan sampe rpt atau bahkan lebih yang bikin,3,0.8911,40,0.037,0.036,0.0359,0.8911,136,12
zulkifli hasan mendorong sppg berbelanja bahan pangan di kopdes agar program makan bergizi gratis ikut menggerakkan ekonomi desa,2,0.7956,51,0.0661,0.0673,0.7956,0.0711,137,7
zulkifli hasan mendorong agar kebutuhan program makan bergizi gratis diprioritaskan berasal dari koperasi desa sehingga ekonomi desa semakin tumbuh masyarakat lokal semakin sejahtera,0,0.897,25,0.897,0.0333,0.0362,0.0335,138,26
program makan bergizi gratis di jambi serap bahan pangan lokal untuk perkuat gizi anak amp ekonomi desa,3,0.9459,52,0.0184,0.0179,0.0178,0.9459,139,26
program makan bergizi gratis di jambi serap bahan pangan lokal untuk perkuat gizi anak amp ekonomi desa,3,0.7375,49,0.0861,0.0893,0.0871,0.7375,140,8
kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak,3,0.7375,49,0.0861,0.0893,0.0871,0.7375,141,8
bersama mewujudkan generasi yang sehat kuat dan berprestasi melalui program makan bergizi gratis sebagai bekal menuju indonesia emas,1,0.9471,26,0.0177,0.9471,0.0179,0.0173,142,26
anakanak yang sehat dan bergizi adalah harapan bangsa mari dukung program makan bergizi gratis demi masa depan indonesia yang lebih baik,1,0.8467,49,0.0507,0.8467,0.0512,0.0514,143,9
makan bergizi gratis bukan sekadar program bantuan tetapi langkah strategis untuk mendukung tumbuh kembang anakanak indonesia secara optimal,1,0.8467,49,0.0507,0.8467,0.0512,0.0514,144,9
program makan bergizi gratis menjadi investasi nyata untuk mencetak generasi indonesia yang sehat cerdas dan siap menyongsong masa depan,2,0.6318,22,0.3364,0.0158,0.6318,0.0159,145,29
makan bergizi gratis membawa keceriaan dan kesehatan bagi generasi penerus kita dengan kesehatan yang terjaga dan fokus belajar yang lebih baik mereka siap menyongsong masa depan yang cerah program ini adalah investasi jangka panjang dengan dampak nasional mbg yang luar biasa,3,0.948,38,0.0179,0.0171,0.017,0.948,146,22
makan bergizi gratis membawa keceriaan dan kesehatan bagi generasi penerus kita dengan kesehatan yang terjaga dan fokus belajar yang lebih baik mereka siap menyongsong masa depan yang cerah program ini adalah investasi jangka panjang dengan dampak nasional mbg yang luar biasa,1,0.9213,44,0.0267,0.9213,0.0252,0.0267,147,31
termasuk ketahanan pangan makan bergizi gratis dan koperasi desa merah putih kepala ksp menegaskan dukungan penuhnya dan akan melaporkan hasil pertemuan ini langsung kepada presiden ri,1,0.6166,52,0.1282,0.6166,0.1282,0.127,148,21
antusiasme warga sulawesi selatan mendukung program makan bergizi gratis memperlihatkan betapa pentingnya pemenuhan gizi anak sekolah program ini sangat krusial dalam mencetak generasi penerus yang cerdas secara intelektual dan kuat secara fisik,3,0.6331,38,0.3347,0.0161,0.0161,0.6331,149,25
sulawesi selatan siap menjadi pelopor kesuksesan makan bergizi gratis dengan asupan makanan sehat secara rutin anakanak sekolah kita akan lebih fokus belajar dan siap mengukir prestasi terbaik,0,0.8075,51,0.8075,0.0628,0.0652,0.0645,150,9
langkah strategis demi memutus rantai masalah gizi buruk apresiasi setinggitingginya untuk program makan bergizi gratis yang didukung penuh secara nyata oleh masyarakat sulawesi selatan,0,0.25,52,0.25,0.25,0.25,0.25,151,1
makan sehat tidak harus mahal dan sulit diakses program makan bergizi gratis membuktikannya dengan memberikan hidangan bernutrisi langsung ke sekolahsekolah di sulsel mari kawal bareng agar tepat sasaran,1,0.9461,17,0.0179,0.9461,0.0174,0.0186,152,23
makan bergizi gratis bukan sekadar program makanmakan biasa ini adalah langkah nyata pemerintah dalam menekan angka stunting dan meningkatkan kualitas sdm indonesia ketika anakanak sehat bangsa ini akan tumbuh menjadi kekuatan besar di dunia,0,0.8695,47,0.8695,0.0431,0.0431,0.0443,153,21
dukungan tanpa ragu dari sulawesi selatan untuk masa depan anak indonesia lewat program makan bergizi gratis kita bangun pertahanan kesehatan nasional sejak dini mulai dari piring makan anakanak kita,1,0.7331,43,0.0888,0.7331,0.0883,0.0898,154,15
ya kan emang udah dikasih tau kalo mereka salah satu penyebabnya pemerintah aja yg ngeyel lagian mau bikin program makan bergizi gratis gak punya supply chain bahan baku makanan dan distribusi yg memadai asal jadi terserah dia aja dipikirnya kayak katering nikahan,3,0.9393,15,0.0205,0.0202,0.02,0.9393,155,28
fasilitas buat karyawan super lengkap perumahanbarak yang nyaman rumah sakit modern sekolah internasional fasilitas olahraga gym lapangan bola bahkan lapangan golf makan gratis di mess dengan menu bergizi tinggi,3,0.9478,43,0.0172,0.0178,0.0173,0.9478,156,23
generasi sehat adalah fondasi indonesia yang maju program makan bergizi gratis layak mendapat dukungan karena membantu memastikan anakanak memperoleh asupan yang berkualitas sekaligus menjadi upaya bersama dalam menciptakan masa depan yang lebih baik bagi bangsa,0,0.6557,42,0.6557,0.3121,0.0159,0.0163,157,27
generasi sehat adalah fondasi indonesia yang maju program makan bergizi gratis layak mendapat dukungan karena membantu memastikan anakanak memperoleh asupan yang berkualitas sekaligus menjadi upaya bersama dalam menciptakan masa depan yang lebih baik bagi bangsa,0,0.548,31,0.548,0.085,0.28,0.087,158,17
generasi sehat adalah fondasi indonesia yang maju program makan bergizi gratis layak mendapat dukungan karena membantu memastikan anakanak memperoleh asupan yang berkualitas sekaligus menjadi upaya bersama dalam menciptakan masa depan yang lebih baik bagi bangsa,3,0.9629,4,0.0126,0.0123,0.0122,0.9629,159,29
bukan tumpang tindih tapi saling melengkapi sinergi kejagung dan kpk dalam mengusut tuntas tata kelola program makan bergizi gratis mbg memastikan hak anakanak terlindungi ​,1,0.5644,37,0.0196,0.5644,0.396,0.02,160,24
generasi sehat adalah fondasi indonesia yang maju program makan bergizi gratis layak mendapat dukungan karena membantu memastikan anakanak memperoleh asupan yang berkualitas sekaligus menjadi upaya bersama dalam menciptakan masa depan yang lebih baik bagi bangsa,1,0.9117,8,0.0285,0.9117,0.0304,0.0294,161,22
pastikan aman pastikan berkualitas komitmen polres ppu dalam mendukung program makan bergizi gratis mbg diwujudkan melalui pengawasan food safety secara berkala di sppg kemala bhayangkari,1,0.6896,19,0.2766,0.6896,0.0172,0.0166,162,28
rakyat bergerak mendukung keberlanjutan program makan bergizi gratis mbgdemi pemenuhan gizi anakanak indonesia,0,0.9577,3,0.9577,0.0142,0.014,0.0141,163,30
demo dukung mbg di brebes bupati bakal sampaikan ke prabowo demontrasi damai mendukung program pemerintah khususnya program makan bergizi gratis mbg dilakukan warga di sejumlah daerah di kabupaten brebes jawa tengah hal yang sama juga terjadi senin sore bahkan,0,0.5935,42,0.5935,0.378,0.0141,0.0144,164,24
lalu apa yang prabowo lakukan januari inpres no terbit target efisiensi anggaran rp triliun yang pertama dipotong → kesehatan rp triliun dari total pagu → pendidikan dasar amp menengah rp triliun → pekerjaan umum rp triliun dana,3,0.9476,30,0.0171,0.0182,0.0171,0.9476,165,24
program makan bergizi gratis dikelola secara efisien dan tepat sasaran demi memenuhi gizi anak untuk membangun generasi emas yang sehat dan cerdas,0,0.9289,22,0.9289,0.0235,0.0234,0.0242,166,25
program makan bergizi gratis dikelola secara efisien dan tepat sasaran demi memenuhi gizi anak untuk membangun generasi emas yang sehat dan cerdas,0,0.25,51,0.25,0.25,0.25,0.25,167,5
ini program makan bergizi gratis apa membunuh secara gratis ya,0,0.9555,50,0.9555,0.0148,0.0148,0.0149,168,26
baca di sini harga sejumlah bahan pokok di kulon progo mulai dari sayuran telur hingga daging ayam turun selama libur program makan bergizi gratis mbg sehingga daya beli warga meningkat dan penjualan pedagang di pasar wates ikut terdongkrak iq,3,0.8845,50,0.0373,0.0384,0.0398,0.8845,169,15
projek makan bergizi gratis untuk pelajar sekolah pun gagal prabowo ni dia cekap bab berjoget atas pentas lepas habis pidato je lahhhhhh tak caya tanya orang indonesia guys…,0,0.964,1,0.964,0.012,0.012,0.012,170,34
program makan bergizi gratis mbg menjadi sorotan di tengah berbagai kritik yang muncul mengapa pemerintah dinilai begitu defensif terhadap program ini apa yang sebenarnya terjadi di balik kebijakan andalan tersebut simak pembahasannya hanya di youtube hyprbuzz,0,0.7983,50,0.7983,0.0674,0.0662,0.0681,171,11
program makan bergizi gratis merupakan wujud nyata kepedulian pemerintah terhadap masa depan anak bangsa,0,0.7983,50,0.7983,0.0674,0.0662,0.0681,172,11
bgn mengoptimalkan program makan bergizi gratis melalui efisiensi ketepatan sasaran dan akuntabilitas demi manfaat maksimal bagi anak indonesia,3,0.5688,4,0.4056,0.0128,0.0129,0.5688,173,26
kalo mbg yg dimaksud mau belajar guys baru percaya tp kalo mbg makan bergizi gratis kaga ngaruh kaga bikin pinter cuma ngaruh diperut dan pemilik sppg,3,0.4994,17,0.02,0.0206,0.46,0.4994,174,28
kepala bakom ri m qodari menyebut pelaksanaan makan bergizi gratis mbg di daerah tertinggal terdepan dan terluar atau t membutuhkan skema tersendiri nonton episode beresberes mbg di,0,0.9346,37,0.9346,0.0216,0.0224,0.0214,175,32
badan gizi nasional bgn berkomitmen menyisir kembali anggaran operasional serta pengadaan barang dan jasa yang dinilai tidak berkaitan langsung dengan program makan bergizi gratis mbg nonton episode beresberes mbg di,2,0.5522,46,0.408,0.0198,0.5522,0.02,176,28
ksp dudung abdurachman meluruskan bahwa adanya perbaikan tata kelola bukan berarti mengurangi komitmen pemerintah dalam menjalankan program makan bergizi gratis mbg pembenahan administrasi ini justru krusial demi memastikan pelaksanaan program berjalan lebih transparan,0,0.9144,30,0.9144,0.0283,0.0289,0.0284,177,24
kepala bakom ri m qodari menjelaskan program makan bergizi gratis mbg sejak awal dirancang bersifat universal karena kondisi sosial ekonomi siswa dalam satu sekolah sangat beragam nonton episode beresberes mbg di,3,0.7399,51,0.0864,0.0893,0.0843,0.7399,178,16
kepala staf kepresidenan dudung abdurachman menegaskan bahwa pemerintah tetap berkomitmen penuh terhadap program makan bergizi gratis mbg langkah pembenahan tata kelola yang tengah berjalan saat ini dilakukan agar program strategis presiden tersebut semakin akuntabel,3,0.887,51,0.0391,0.0368,0.0371,0.887,179,13
jangan pula korupsi di bungkus dg dalih bansos kopdes mp makan bergizi gratis karena sejatinyakritik itu lahir dr ketidakmampuan pejabat dlm mengolah otak nya dan pribadi nya yg tdk mau intropeksi baik dlm kapasitas sbg pejabatpribadi,3,0.9494,18,0.0162,0.0176,0.0168,0.9494,180,25
pemkab kudus terus memperkuat pelaksanaan program makan bergizi gratis mbg melalui rapat evaluasi yang dipimpin wakil bupati kudus bellinda birton selaku ketua satuan tugas percepatan dan penanganan program mbg kabupaten kudus di pendapa kabupaten kudus senin m,3,0.9017,51,0.0319,0.0321,0.0343,0.9017,181,25
opini boleh berbeda tetapi semangat membangun indonesia harus tetap menjadi tujuan bersama di tengah berbagai dinamika dan penolakan dari sebagian kelompok dukungan masyarakat terhadap program makan bergizi gratis mbg terus mengalir dari berbagai daerah,1,0.9573,9,0.0142,0.9573,0.0143,0.0142,182,24
sultan bachtiar najamudin ketua dewan perwakilan daerah dpd ri dia yang mengusulkan agar rakyat khususnya yang mampu ikut menyumbang atau memberikan sumbangan sukarela termasuk lewat zakat infak sedekah untuk mendukung program makan bergizi gratis mbg,1,0.9573,9,0.0142,0.9573,0.0143,0.0142,183,24
kejaksaan agung kejagung menetapkan eks kepala badan gizi nasional dadan hindayana sebagai tersangka kasus korupsi penyimpangan tata kelola program makan bergizi gratis mbg,1,0.3581,36,0.2379,0.3581,0.3521,0.052,184,12
terimakasih riza ‍♀️✨ ini adalah bukti kalau masyarakat perlu pendidikan daripada sekedar makan gratis bergizi aja benerbener definisi berguna amp bermanfaat bagi lingkungan its my dream too lt ‍♀️✨,2,0.958,21,0.0134,0.0142,0.958,0.0144,185,24
bem universitas indonesia bersama sejumlah elemen masyarakat sipil menggelar aksi damai bertajuk solidarity campaign di kawasan car free day bundaran hi jakarta pada minggu dalam aksi tersebut peserta menyampaikan berbagai aspirasi kepada pemerintah di antaranya,3,0.9559,51,0.0151,0.0146,0.0145,0.9559,186,32
kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak agar pelaksanaannya berjalan lancar transparan dan akuntabel setiap pihak yang menjalankan kegiatan usaha dalam ekosistem mbg,3,0.9286,43,0.024,0.0239,0.0235,0.9286,187,29
ribuan warga di sidoarjo menggelar aksi dukungan terhadap program makan bergizi gratis mbg massa juga menyerukan lanjutkan mbg dan prabowo periode,1,0.9548,9,0.0151,0.9548,0.0151,0.015,188,24
aksi damai warga sidoarjo dukung program makan bergizi gratis,2,0.5461,8,0.0183,0.4166,0.5461,0.0189,189,21
makan bergizi gyeonggi jika kita melakukan pencarian di youtube dengan kata kunci ‘korean school lunch’ maka akan ada ratusan hingga ribuan video yang memperkenalkan makan siang di sekolah korea kschool meal dikenal karena proses pengolahannya yang langsung ramah,2,0.5468,8,0.0183,0.416,0.5468,0.0189,190,21
mbg makan bergizi gratis dr om abi,0,0.9488,13,0.9488,0.0171,0.0168,0.0174,191,30
ini bukan tuduhan berlebihan ketika militer mulai masuk ke ruang ekonomi desa program makan bergizi gratis hingga rekrutmen pegawai sipil — polanya layak dibaca sebagai kecenderungan yang sistemik bukan serangkaian insiden yang kebetulan terjadi bersamaan,1,0.9219,12,0.0256,0.9219,0.0269,0.0256,192,15
tni dan polri tak hanya terlibat dalam pengamanan tetapi juga memegang peran dalam pelaksanaan program makan bergizi gratis mbg mulai dari posisi di badan gizi nasional bgn hingga pengelolaan ratusan satuan pelayanan pemenuhan gizi sppg apa dampaknya bagi pelaksanaan,1,0.935,12,0.0215,0.935,0.0221,0.0214,193,16
program makan bergizi gratis mbg lagi jadi sorotan seorang ekonom mengusulkan anggaran mbg tahun nggak cuma dipotong rp triliun tapi sampai rp triliun dari total pagu rp triliun,2,0.6042,50,0.0184,0.0177,0.6042,0.3597,194,25
kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak,0,0.9656,3,0.9656,0.0115,0.0114,0.0115,195,31
ketua umum pkb muhaimin iskandar cak imin menyatakan kesiapannya jika ditugaskan mengurus badan gizi nasional bgn atau program makan bergizi gratis mbg menurutnya persoalan tersebut bisa diselesaikan hanya dalam waktu dua hari karena perhitungannya dinilai sangat,2,0.7153,40,0.2505,0.0172,0.7153,0.0171,196,30
presiden mengungkapkan bahwa banyak negara kini ingin belajar dari indonesia terkait pelaksanaan program makan bergizi gratis mbg hal ini dikarenakan program mbg yang dijalankan indonesia dinilai memiliki keunggulan dan keunikan tersendiri bahkan jika dibandingkan dengan,2,0.563,10,0.0197,0.3968,0.563,0.0205,197,31
senyum dan semangat anakanak sd menjadi dukungan nyata bagi program makan bergizi gratis,0,0.9518,15,0.9518,0.0163,0.016,0.0159,198,29
sekitar seribu warga yang tergabung dalam forum komunikasi mbg sidoarjo bersatu menggelar aksi damai di depan pendopo delta wibawa kabupaten sidoarjo jawa timur pada senin massa aksi yang terdiri dari elemen petani nelayan pedagang pasar pemasok hingga,0,0.9492,13,0.9492,0.0168,0.0168,0.0171,199,26
dari desadesa di pegunungan papua hingga pelosok nusa tenggara makan bergizi gratis telah menjadi bukti nyata kehadiran negara untuk anakanak bangsa,1,0.9087,41,0.0302,0.9087,0.0306,0.0305,200,31
bagi anakanak di daerah terpencil program makan bergizi gratis bukan sekadar makanan — tapi harapan,3,0.7019,41,0.0285,0.0291,0.2405,0.7019,201,16
mbg makan bergizi gratis atau makan bergizi golongan tertentu politisi ini jujur mereka yang lapar bukan rakyat yang kesulitan pahit tapi nyata,1,0.8843,45,0.0389,0.8843,0.0367,0.0401,202,11
sosialisasi program makan bergizi gratis mbg kepada kelompok b yaitu ibu hamil ibu menyusui dan balita menjadi langkah penting untuk meningkatkan pemahaman tentang pentingnya asupan gizi sejak awal kehidupan generasi sehat dimulai dari ibu yang sehat,1,0.6091,50,0.0253,0.6091,0.0238,0.3418,203,26
kolaborasi dapur makan bergizi gratis mbg dengan umkm lokal menjadi langkah nyata memperkuat rantai pasok pangan nasional bahan baku dari petani peternak nelayan dan pelaku umkm dapat terserap sekaligus menghadirkan manfaat ekonomi bagi masyarakat,3,0.9504,18,0.017,0.0165,0.0161,0.9504,204,27
ribuan massa di probolinggo dukung program makan bergizi gratis tetap berjalan,0,0.9447,28,0.9447,0.0185,0.0186,0.0183,205,30
program makan bergizi gratis mbg adalah contoh nyata bagaimana program pemerintah dapat memberikan manfaat yang luas bagi masyarakat mulai dari peningkatan gizi hingga pemberdayaan ekonomi,0,0.9281,41,0.9281,0.0237,0.0244,0.0239,206,27
fraksi partai gerindra mendengarkan seluruh aspirasi masyarakat terhadap program makan bergizi gratis mbg baik yang memberikan dukungan maupun kritik kami mendukung pembenahan tata kelola agar pelaksanaan mbg semakin tepat sasaran transparan dan akuntabel,1,0.9393,30,0.0197,0.9393,0.02,0.021,207,23
evaluasi rutin terhadap program makan bergizi gratis mbg adalah langkah yang tepat untuk mengidentifikasi tantangan dan perbaikan dengan tata kelola yang baik program ini diharapkan dapat terus berjalan dengan lancar dan memberikan manfaat yang berkelanjutan bagi masyarakat,0,0.9333,33,0.9333,0.0227,0.0216,0.0224,208,23
melihat senyum bahagia para siswa saat menerima makan bergizi gratis mbg adalah motivasi terbesar kami semoga program ini terus memberikan manfaat bagi tumbuh kembang dan masa depan anakanak indonesia,0,0.9367,16,0.9367,0.0206,0.021,0.0217,209,34
program makan bergizi gratis terus disempurnakan agar manfaatnya semakin tepat sasaran mendukung terwujudnya generasi indonesia yang lebih sehat cerdas dan berkualitas,2,0.933,32,0.0226,0.022,0.933,0.0224,210,27
suasana hangat dan penuh kebersamaan saat tim sppg berinteraksi dengan warga kelurahan sangkrah dalam program makan bergizi gratis mbg kami berharap program ini dapat terus mempererat tali silaturahmi dan memberikan dampak positif bagi kesehatan masyarakat,2,0.933,32,0.0226,0.022,0.933,0.0224,211,27
program makan bergizi gratis memberikan dampak positif bagi perekonomian nasional terutama bagi para petani nelayan dan pelaku umkm dengan melibatkan berbagai pihak program ini dapat membantu meningkatkan kesejahteraan masyarakat dan memperkuat ketahanan pangan nasional,0,0.8305,50,0.8305,0.0617,0.0528,0.0549,212,11
kolaborasi antara berbagai pihak mulai dari posyandu hingga puskesmas menjadi kekuatan utama dalam pelaksanaan program makan bergizi gratis mbg dengan bersinergi kita dapat menciptakan ekosistem yang lebih baik untuk meningkatkan kesehatan dan gizi masyarakat,1,0.9461,15,0.0182,0.9461,0.0176,0.018,213,31
transparansi dan akuntabilitas adalah kunci keberhasilan program makan bergizi gratis mbg pemerintah terus berupaya memastikan anggaran yang digunakan tepat sasaran dan memberikan manfaat langsung bagi masyarakat mari kita dukung dan awasi bersama pelaksanaan program ini,1,0.9043,12,0.0316,0.9043,0.0323,0.0318,214,22
berbagi keceriaan dan makan bergizi gratis mbg dengan ibuibu dan anakanak di kelurahan sangkrah semoga program ini dapat membantu meningkatkan kualitas kesehatan dan gizi masyarakat terutama bagi ibu hamil dan balita,0,0.9504,25,0.9504,0.0166,0.0169,0.0161,215,28
tim sppg kartajaya padalarang bersiap untuk mendistribusikan makan bergizi gratis mbg ke sekolah kami berkomitmen untuk memastikan setiap siswa mendapatkan asupan gizi yang cukup untuk menunjang proses belajar mereka,2,0.6856,11,0.017,0.2806,0.6856,0.0167,216,22
bgn berencana menghemat rp triliun untuk anggaran makan bergizi gratis mbg tahun melalui langkah strategis termasuk evaluasi penerima dan sistem insentif,3,0.4883,17,0.0162,0.4791,0.0163,0.4883,217,25
bgn tegas program makan bergizi gratis tetap jalan sesuai mandat presiden prabowo meski ada demo mahasiswa fokus utama perbaikan tata kelola amp larangan konflik kepentingan bagi pegawai,1,0.9112,42,0.0306,0.9112,0.0297,0.0285,218,32
polemik implementasi program makan bergizi gratis mbg tampaknya kian membelah opini publik secara tajam,1,0.8142,47,0.1347,0.8142,0.025,0.026,219,20
menteri keuangan menkeu purbaya yudhi sadewa mengambil langkah tegas demi mengamankan uang negara kementerian keuangan bakal membentuk tim khusus berskala nasional untuk mengawasi ketat penggunaan anggaran program makan bergizi gratis mbg di seluruh wilayah indonesia tim,2,0.6126,10,0.3203,0.0342,0.6126,0.033,220,22
program makan bergizi gratis sukses serap jutaan tenaga kerja lewat sinergi bareng petani nelayan umkm dan bumdes untuk perkuat rantai pasok pangan nasional yuk dukung terus ekonomi lokal kita,2,0.9346,37,0.0218,0.0219,0.9346,0.0217,221,28
embege go internasional program makan bergizi gratis mbg kembali menjadi perhatian publik tidak hanya di dalam negeri tetapi juga di luar negeri media televisi korea selatan obs gyeongin tv menyoroti sejumlah insiden dugaan keracunan massal yang terjadi dalam pelaksanaan,0,0.629,51,0.629,0.0371,0.0368,0.2971,222,30
purbaya bukabukaan soal nasib anggaran makan bergizi gratis nj,3,0.9239,13,0.0263,0.0251,0.0247,0.9239,223,26
tim jurnalisme data harian kompas menemukan fakta ini dari olahan data siswa miskin dan kurang gizi dengan penerima manfaat program makan bergizi gratis mbg ada kabupatenkota yang ratarata melayani kali lipat dibandingkan dengan target prioritas siswa miskin dan,2,0.5662,52,0.0511,0.0523,0.5662,0.3304,224,22
rencana kementerian keuangan untuk mengevaluasi penggunaan anggaran badan gizi nasional setiap dua bulan sekali menjadi langkah penting dalam memperkuat tata kelola program makan bergizi gratis kebijakan ini menunjukkan bahwa pemerintah tidak hanya fokus pada pelaksanaan program,1,0.9453,31,0.0181,0.9453,0.0189,0.0177,225,26
menu makan bergizi gratis kini semakin digemari karena perpaduan rasa lezat dan nutrisi lengkap di dalamnya,2,0.7955,51,0.0661,0.0673,0.7955,0.0711,226,7
kemenkeu pastikan anggaran program makan bergizi gratis mbg diawasi ketat setiap dua bulan sekali agar tepat sasaran bagi masyarakat,3,0.554,17,0.0129,0.0128,0.4203,0.554,227,28
kolaborasi dapur mbg amp umkm memberdayakan umkm lokal melalui program makan bergizi gratis mbg untuk memperkuat ketahanan pangan nasional program ini melibatkan ribuan petani nelayan umkm dan bumdes menciptakan lapangan kerja amp menggerakkan ekonomi desa,0,0.962,1,0.962,0.0127,0.0126,0.0127,228,29
pemerintah pastikan program makan bergizi gratis tepat sasaran amp transparan melalui kemenkeu anggaran akan diawasi secara berkala dengan evaluasi setiap dua bulan keadilan amp keakuratan menjadi prioritas utama,3,0.9538,21,0.0148,0.0156,0.0157,0.9538,229,29
program makan bergizi gratis mbg adalah investasi strategis untuk memastikan asupan nutrisi anak terpenuhi berdasarkan hasil kajian nutrisi seimbang terbukti nyata memperkuat daya tahan tubuh mendorong fokus di kelas serta mendukung tumbuh kembang yang optimal,1,0.5969,51,0.1251,0.5969,0.1411,0.1369,230,11
program makan bergizi gratis mbg adalah investasi strategis untuk memastikan asupan nutrisi anak terpenuhi berdasarkan hasil kajian nutrisi seimbang terbukti nyata memperkuat daya tahan tubuh mendorong fokus di kelas serta mendukung tumbuh kembang yang optimal,0,0.555,51,0.555,0.0301,0.0286,0.3862,231,24
program makan bergizi gratis mbg makin mantap lewat tata kelola yang efisien ​efisiensi ini fokus memotong biaya operasional—bukan mengurangi porsi atau gizi makanan si kecil malah potensi penghematan apbn bisa mencapai rp triliun lho ​ ​,2,0.688,21,0.0124,0.0132,0.688,0.2865,232,30
antrean tertib siswa saat menerima makan bergizi gratis menjadi pemandangan rutin yang penuh semangat di berbagai sekolah dasar,3,0.8844,22,0.04,0.0382,0.0374,0.8844,233,12
dengan gizi yang cukup melalui makan bergizi gratis siswa memiliki energi lebih untuk mengikuti kegiatan ekstrakurikuler,0,0.958,15,0.958,0.014,0.0139,0.014,234,23
makan bergizi gratis adalah langkah pasti menuju masa depan yang lebih cerah bagi setiap anak indonesia,0,0.5365,34,0.5365,0.0185,0.4272,0.0179,235,30
kabar gembira bagi para petani buah implementasi program makan bergizi gratis kini menjadi penggerak ekonomi baru di sektor pertanian dampak positifnya nyata dirasakan langsung oleh para petani di daerah,1,0.6133,41,0.3088,0.6133,0.0404,0.0375,236,29
mbg go international lagi kali ini lewat korupsi pengadaan motor listrik sama tvdari program makan bergizi gratis sekarang malah bikin pejabatnya ikut bergizi di tahanan prestasi juga,1,0.928,23,0.0236,0.928,0.0244,0.0241,237,15
efisiensi yang tepat membuat program makan bergizi gratis semakin efektif transparan dan tepat sasaran untuk mendukung generasi sehat indonesia,2,0.9411,36,0.0194,0.0199,0.9411,0.0196,238,17
efisiensi yang tepat membuat program makan bergizi gratis semakin efektif transparan dan tepat sasaran untuk mendukung generasi sehat indonesia,3,0.8704,27,0.0421,0.0442,0.0433,0.8704,239,11
efisiensi yang tepat membuat program makan bergizi gratis semakin efektif transparan dan tepat sasaran untuk mendukung generasi sehat indonesia,3,0.8704,27,0.0421,0.0443,0.0433,0.8704,240,11
